Freq	Int 	Phase
-6.25056e+14	1.4521e-19	1.5708
-6.24568e+14	8.83549e-17	-3.00582
-6.24079e+14	3.48907e-16	-3.06652
-6.23591e+14	8.77738e-17	3.03265
-6.23103e+14	7.81738e-16	-3.10386
-6.22614e+14	8.90695e-17	-0.162569
-6.22126e+14	8.67415e-17	-0.00785049
-6.21638e+14	1.03812e-18	1.5708
-6.2115e+14	9.43824e-17	0.288618
-6.20661e+14	3.47105e-16	-3.12012
-6.20173e+14	8.67362e-17	3.14158
-6.19685e+14	8.77032e-17	3.03639
-6.19196e+14	3.52033e-16	0.120522
-6.18708e+14	8.74545e-17	-3.05084
-6.1822e+14	3.74623e-20	-1.5708
-6.17732e+14	3.52177e-16	0.122198
-6.17243e+14	1.90517e-18	-1.5708
-6.16755e+14	8.67521e-17	-3.12806
-6.16267e+14	3.48577e-16	-3.07311
-6.15779e+14	5.16243e-19	-1.5708
-6.1529e+14	1.622e-18	-1.5708
-6.14802e+14	2.16854e-17	-3.13369
-6.14314e+14	2.29551e-17	-2.90405
-6.13825e+14	2.40194e-17	-2.82449
-6.13337e+14	2.49939e-17	-2.76914
-6.12849e+14	8.67573e-17	3.12599
-6.12361e+14	1.98143e-16	-3.01851
-6.11872e+14	1.91576e-19	-1.5708
-6.11384e+14	2.37498e-17	-2.84221
-6.10896e+14	1.10484e-16	-2.65952
-6.10407e+14	2.68217e-17	-2.6886
-6.09919e+14	5.68772e-19	-1.5708
-6.09431e+14	2.21118e-17	-3.00206
-6.08943e+14	2.52967e-17	2.75406
-6.08454e+14	2.17154e-17	3.10359
-6.07966e+14	8.53419e-18	-2.49311
-6.07478e+14	2.25441e-17	-2.94501
-6.06989e+14	5.50547e-18	-3.01742
-6.06501e+14	9.79075e-18	-1.5708
-6.06013e+14	6.11873e-18	-2.0608
-6.05525e+14	8.10005e-18	-2.52886
-6.05036e+14	1.86835e-17	2.51152
-6.04548e+14	1.35949e-17	-2.8152
-6.0406e+14	1.29897e-17	-2.89202
-6.03571e+14	8.28176e-18	-0.628252
-6.03083e+14	2.50543e-17	-2.05461
